PROVINCIA,label_provincia,sexo_1,sexo_2,brecha_actividad_pp
San Luis,San Luis,67.71652788823626,45.212032095269215,22.50449579296704
Formosa,Formosa,56.43182614791448,36.11329070602181,20.31853544189267
San Juan,San Juan,63.12135797126158,43.182170004167745,19.939187967093837
Mendoza,Mendoza,65.91158636329006,46.653246410734006,19.25833995255605
Entre Ríos,Entre Ríos,58.60498750242353,39.68444720111645,18.920540301307085
Corrientes,Corrientes,57.41510848884124,39.14217156568686,18.272936923154383
Santiago del Estero,Santiago del Estero,59.42488760709136,41.40113733203986,18.023750275051498
Tucumán,Tucumán,63.37783484219215,45.992210414963694,17.385624427228457
Santa Fe,Santa Fe,63.57128164895276,46.31800035634495,17.25328129260781
Chaco,Chaco,59.54960563364193,42.38225561406065,17.167350019581285
Catamarca,Catamarca,59.50461658681034,42.956371555155066,16.548245031655277
Buenos Aires,Buenos Aires,64.21640561548631,47.81190681323478,16.40449880225153
La Rioja,La Rioja,60.66634050880626,44.716862055116756,15.949478453689501
Chubut,Chubut,57.25380535696416,41.67502854572506,15.578776811239095
Neuquén,Neuquén,61.39335063226895,45.937538457331165,15.455812174937783
Salta,Salta,60.279321810652455,45.05602489388708,15.223296916765378
Córdoba,Córdoba,65.21215858411293,50.067888662593354,15.144269921519573
Misiones,Misiones,60.04634965485618,44.992612143155235,15.053737511700945
Tierra del Fuego,Tierra del Fuego,63.92929880709921,53.02435933729661,10.9049394698026
Río Negro,Río Negro,50.46982003503743,40.08581293795064,10.384007097086787
Ciudad Autónoma de Buenos Aires,CABA,65.29233972555781,56.035690651576644,9.256649073981166
Santa Cruz,Santa Cruz,56.10125634128903,47.922013993882075,8.179242347406955
Jujuy,Jujuy,57.47535982979378,52.38057677489033,5.094783054903452
La Pampa,La Pampa,57.4372476742145,52.89699392122574,4.540253752988754
