AGLOMERADO,cuentapropistas,total_ocupados,tasa_cuentaprop_pct,label_corta
Gran La Plata,66780,416441,16.035885035335138,Gran La Plata
Bahia Blanca - Cerri,34161,146228,23.36146292091802,Bahia Blanca - Cerri
Gran Rosario,146877,633377,23.1895064077161,Gran Rosario
Gran Santa Fe,51826,229206,22.6111009310402,Gran Santa Fe
Gran Parana,38170,120439,31.692391999269336,Gran Parana
Posadas,46966,166074,28.28016426412322,Posadas
Gran Resistencia,37567,169137,22.210988725116326,Gran Resistencia
Cdro. Rivadavia - R.Tilly,21573,105569,20.434976176718543,Cdro. Rivadavia - R.Tilly
Gran Mendoza,129524,484830,26.715343522471795,Gran Mendoza
Corrientes,38791,155824,24.894111305062122,Corrientes
Gran Cordoba,182063,729061,24.972258837052046,Gran Cordoba
Concordia,15612,62512,24.97440491425646,Concordia
Formosa,31556,100441,31.417449049690866,Formosa
Neuquen - Plottier,26388,142844,18.473299543558007,Neuquen - Plottier
S. del Estero - La Banda,31185,180502,17.27681687737532,S. del Estero - La Banda
Jujuy - Palpala,43702,170579,25.619800796112063,Jujuy - Palpala
Rio Gallegos,6178,57099,10.819804199723288,Rio Gallegos
Gran Catamarca,21212,99305,21.36045516338553,Gran Catamarca
Salta,72125,282752,25.5082192168402,Salta
La Rioja,16899,104649,16.14826706418599,La Rioja
San Luis - El Chorrillo,25854,116373,22.21649351653734,San Luis - El Chorrillo
Gran San Juan,61910,241740,25.610159675684617,Gran San Juan
Gran Tucuman - T. Viejo,91956,400207,22.97710934591349,Gran Tucuman - T. Viejo
Santa Rosa - Toay,13336,58382,22.842656983316775,Santa Rosa - Toay
Ushuaia - Rio Grande,13759,85579,16.077542387735306,Ushuaia - Rio Grande
Ciudad de Buenos Aires,281390,1496716,18.80049388127073,Ciudad de Buenos Aires
Partidos del GBA,1431376,5730951,24.976238673127725,Partidos del GBA
Mar del Plata - Batan,82513,313708,26.30248511354508,Mar del Plata - Batan
Rio Cuarto,21631,82436,26.239749623950704,Rio Cuarto
San Nicolas - Villa Constitucion,18785,76890,24.431005332292884,San Nicolas - Villa Constitucion
Rawson - Trelew,10727,64435,16.64778458912082,Rawson - Trelew
Viedma - Carmen de Patagones.,7060,34523,20.45013469281349,Viedma - Carmen de Patagones.
