ANO4,TRIMESTRE,PROVINCIA,label_provincia,coeficiente,error_estandar,estadistico_t,p_valor,retorno_pct
2025,1er Trimestre,Tucumán,Tucumán,0.11094344032265423,0.008752092792567813,12.676218471639864,1.8483746646231553e-32,11.094344032265422
2025,1er Trimestre,La Pampa,La Pampa,0.10942647284728359,0.01253932974238092,8.726660443216488,7.324730199703411e-16,10.94264728472836
2025,1er Trimestre,San Juan,San Juan,0.1070083401695099,0.008383843185670134,12.763638083356703,2.8584869879375195e-31,10.70083401695099
2025,1er Trimestre,Misiones,Misiones,0.09962381116507994,0.013895492407096135,7.169505638692168,2.0631574329734204e-11,9.962381116507995
2025,1er Trimestre,Catamarca,Catamarca,0.09706152377874959,0.010174628567061635,9.539564332890464,1.5108280361401314e-19,9.70615237787496
2025,1er Trimestre,Jujuy,Jujuy,0.09393785916547787,0.00976412943114283,9.620710154236765,3.9802589033689574e-20,9.393785916547786
2025,1er Trimestre,Santa Fe,Santa Fe,0.09332289263795158,0.005490861296939486,16.99603898025401,2.337488667967289e-56,9.33228926379516
2025,1er Trimestre,Salta,Salta,0.09236843561224825,0.008190074550797571,11.278094605775374,1.2842199898107424e-26,9.236843561224825
2025,1er Trimestre,Chubut,Chubut,0.08984127485867932,0.00911197362391426,9.859694350178103,8.330431246496465e-21,8.984127485867932
2025,1er Trimestre,Entre Ríos,Entre Ríos,0.08768507349829961,0.007395088965321387,11.857203329059457,8.925394677924671e-29,8.768507349829962
2025,1er Trimestre,Ciudad Autónoma de Buenos Aires,CABA,0.08585136113621297,0.01139761204112702,7.532398964487284,3.334957552773182e-13,8.585136113621298
2025,1er Trimestre,Santa Cruz,Santa Cruz,0.08536054460213766,0.011533171555139374,7.4013071074191705,5.6262587613350906e-12,8.536054460213766
2025,1er Trimestre,Chaco,Chaco,0.08340809628854033,0.01293869717505387,6.44640609174726,6.040030344550641e-10,8.340809628854034
2025,1er Trimestre,Corrientes,Corrientes,0.08095997421182342,0.011430657037831003,7.082705214921381,1.3416621899084853e-11,8.095997421182343
2025,1er Trimestre,Buenos Aires,Buenos Aires,0.08029933572608587,0.0041513494633355205,19.342947741519954,3.918941693027954e-77,8.029933572608588
2025,1er Trimestre,Santiago del Estero,Santiago del Estero,0.07923273115161655,0.008477374018849248,9.346376717064079,1.0120762308046856e-18,7.923273115161655
2025,1er Trimestre,Mendoza,Mendoza,0.07510640095228648,0.00937269114473028,8.013322939219483,1.5016358101359168e-14,7.510640095228648
2025,1er Trimestre,Tierra del Fuego,Tierra del Fuego,0.07494491555801434,0.009309759142900904,8.050145487938117,1.5622456634770108e-14,7.494491555801434
2025,1er Trimestre,La Rioja,La Rioja,0.0725438521445776,0.008248780618584507,8.79449405905356,9.148575468427858e-17,7.254385214457761
2025,1er Trimestre,Río Negro,Río Negro,0.07180507456551612,0.011405432745408308,6.29569049840954,1.902000377040451e-9,7.180507456551612
2025,1er Trimestre,Neuquén,Neuquén,0.07162751371801993,0.010064580953931609,7.116790460117417,8.479172609794896e-12,7.162751371801993
2025,1er Trimestre,Córdoba,Córdoba,0.06540544526291574,0.0052217456916737815,12.525589931965959,4.602667805945186e-33,6.540544526291574
2025,1er Trimestre,San Luis,San Luis,0.0611628269892275,0.008605713241192928,7.107235074538584,6.715009861736315e-12,6.11628269892275
2025,1er Trimestre,Formosa,Formosa,0.048251540718874934,0.008474830555025164,5.693510968223914,3.3663453563309975e-8,4.825154071887494
