PROVINCIA,label_provincia,empleo_total,ai_exp_prom,wfh_prom
Buenos Aires,Buenos Aires,143251487.24,-0.21118501424634586,0.22728586548948973
Catamarca,Catamarca,2035835,-0.04649006230799648,0.30226700592140326
Chaco,Chaco,3778305,-0.10145588724872662,0.2864742920436545
Chubut,Chubut,4230411,-0.19715097476349225,0.2395316908924452
Ciudad Autónoma de Buenos Aires,CABA,35563787,0.31467056278177297,0.3671752322102255
Corrientes,Corrientes,3243425,-0.1707761570657561,0.2585130687467723
Córdoba,Córdoba,17341982,-0.19296754464949278,0.23409003941994636
Entre Ríos,Entre Ríos,4120435,-0.11864913595933439,0.2538670674334142
Formosa,Formosa,1993019,-0.30404691299214914,0.21212429485117804
Jujuy,Jujuy,3865902,-0.155895351899298,0.2560725155474712
La Pampa,La Pampa,1252811,-0.028834036657564472,0.28124972561703243
La Rioja,La Rioja,2092953,-0.07786242082540792,0.2957143567007955
Mendoza,Mendoza,10374047,-0.19770225451208193,0.23302745302773353
Misiones,Misiones,3357487,-0.16745487463272382,0.23478713394869435
Neuquén,Neuquén,3542382,-0.004685644150517929,0.2947939409132047
Río Negro,Río Negro,522883.19999999995,-0.10139974467894552,0.2924491549929315
Salta,Salta,5886998,-0.22266487489695086,0.22967920152172636
San Juan,San Juan,5551820,-0.25277315360310676,0.23511452100392305
San Luis,San Luis,2523841,-0.14640726153577027,0.25909774030931426
Santa Cruz,Santa Cruz,1128334,-0.047793655337249434,0.2864103182213777
Santa Fe,Santa Fe,19242741.560000002,-0.2011369705359674,0.22721896078928577
Santiago del Estero,Santiago del Estero,3644436,-0.12950209727428333,0.2839477082324947
Tierra del Fuego,Tierra del Fuego,1905980,-0.3536162070514906,0.19440550268103549
Tucumán,Tucumán,7830558,-0.23947249706456425,0.2072110314488444
