ANO4,TRIMESTRE,total_ocupados,total_desocupados,pea,pob_10_mas,tasa_actividad,tasa_empleo,tasa_desempleo,fecha_decimal,periodo,tasa_desempleo_pct
2017,1er Trimestre,11328384,1149128,12477512,27416497,0.4551096370918575,0.4131958944280883,0.09209592425156554,2017,2017T1,9.209592425156554
2017,2do Trimestre,11394821,1088449,12483270,27486449,0.45416088487821765,0.4145614080596588,0.08719261860073522,2017.25,2017T2,8.719261860073523
2017,3er Trimestre,11692705,1058124,12750829,27558139,0.46268831868508975,0.42429225718035607,0.08298472201297656,2017.5,2017T3,8.298472201297656
2017,4to Trimestre,11892404,925548,12817952,27628500,0.4639394827804622,0.43043972709339995,0.07220716694835493,2017.75,2017T4,7.220716694835493
2018,1er Trimestre,11748893,1182949,12931842,27699982,0.46685380517575786,0.4241480373525153,0.09147567686026477,2018,2018T1,9.147567686026477
2018,2do Trimestre,11642340,1239002,12881342,27768463,0.463883867104924,0.41926483291495104,0.09618578561146812,2018.25,2018T2,9.618578561146812
2018,3er Trimestre,11822024,1167777,12989801,27841516,0.4665622734049396,0.4246185444786843,0.08989952963867576,2018.5,2018T3,8.989952963867577
2018,4to Trimestre,11793397,1185104,12978501,27914310,0.46494077768714326,0.4224857071516366,0.09131285654637619,2018.75,2018T4,9.131285654637619
2019,1er Trimestre,11947317,1338113,13285430,28260631,0.47010379916853234,0.42275478562385954,0.10072033799432913,2019,2019T1,10.072033799432912
2019,2do Trimestre,12073393,1437893,13511286,28330192,0.4769217942469292,0.426167002327411,0.1064216241148326,2019.25,2019T2,10.642162411483259
2019,3er Trimestre,11933503,1287362,13220865,27989128,0.47235715953708884,0.42636208602140085,0.0973735077092157,2019.5,2019T3,9.73735077092157
2019,4to Trimestre,12240119,1195584,13435703,28468718,0.47194619020076706,0.42994977856045363,0.0889855930873137,2019.75,2019T4,8.89855930873137
2020,1er Trimestre,12045200,1394118,13439318,28537330,0.47093817116037134,0.42208573822428375,0.10373428175447594,2020,2020T1,10.373428175447593
2020,2do Trimestre,9546080,1436591,10982671,28604777,0.38394534591197826,0.33372327985636807,0.13080524764877324,2020.25,2020T2,13.080524764877325
2020,3er Trimestre,10657849,1414634,12072483,28506488,0.42349948545047006,0.3738745018327056,0.11717837995713061,2020.5,2020T3,11.717837995713062
2020,4to Trimestre,11523649,1418154,12941803,28739664,0.45031156244554565,0.4009667266812862,0.10957932213927225,2020.75,2020T4,10.957932213927226
2021,1er Trimestre,11981987,1355149,13337136,28807138,0.46298025163068957,0.41593812616859055,0.10160719662752184,2021,2021T1,10.160719662752184
2021,2do Trimestre,11981480,1272502,13253982,28872439,0.45905307826609315,0.41497983596051585,0.09600903336069115,2021.25,2021T2,9.600903336069115
2021,3er Trimestre,12403538,1113269,13516807,28939561,0.4670702157506812,0.42860145667033445,0.08236183293879983,2021.5,2021T3,8.236183293879982
2021,4to Trimestre,12643582,946839,13590421,29006368,0.4685323236607906,0.4358898708035422,0.06966958565889901,2021.75,2021T4,6.966958565889901
2022,1er Trimestre,12583977,942704,13526681,29073215,0.4652626481109846,0.43283747600669553,0.06969218834982506,2022,2022T1,6.969218834982506
2022,2do Trimestre,12993265,956699,13949964,29137212,0.47876797546724786,0.4459337084138318,0.06858075045928434,2022.25,2022T2,6.858075045928434
2022,3er Trimestre,12922101,988980,13911081,29203810,0.47634473036223696,0.44247997093529917,0.07109296538493307,2022.5,2022T3,7.1092965384933064
2022,4to Trimestre,13061102,875468,13936570,29269321,0.47614941255384774,0.44623864011057857,0.06281803915884611,2022.75,2022T4,6.281803915884611
2023,1er Trimestre,13191361,973786.9999999999,14165148,29335155,0.4828727852298718,0.4496775626377294,0.06874527537587323,2023,2023T1,6.874527537587323
2023,2do Trimestre,13107639,872119,13979758,29398853,0.47552052455924043,0.4458554556533209,0.062384413235193344,2023.25,2023T2,6.238441323519335
2023,3er Trimestre,13396202,813661,14209863,29463819,0.4822817775251742,0.4546661788819705,0.057260298709424576,2023.5,2023T3,5.726029870942457
2023,4to Trimestre,13517937,822050,14339987,29528610,0.4856302751805791,0.45779117269658137,0.05732571445148451,2023.75,2023T4,5.732571445148451
2024,1er Trimestre,13113928,1088242,14202170,29593214,0.4799130638530847,0.44313970087872173,0.07662505096052223,2024,2024T1,7.662505096052223
2024,2do Trimestre,13297901,1088226,14386127,29656342,0.48509445298412057,0.44839990717668415,0.0756441257608806,2024.25,2024T2,7.56441257608806
2024,3er Trimestre,13368040,994334,14362374,29720145,0.48325383338472944,0.4497972671398474,0.06923186932745241,2024.5,2024T3,6.923186932745241
2024,4to Trimestre,13596484,936747,14533231,29783573,0.48796130000923665,0.45650949938074925,0.06445552265700587,2024.75,2024T4,6.445552265700587
2025,1er Trimestre,13258809,1135666,14394475,29847178,0.48227256191523366,0.44422320260897025,0.07889596529223886,2025,2025T1,7.889596529223885
